type,query,title,DOI,authors,year
author,+Suhail+Ahmad+Rana,Comparing the efficacy of Morphine alone with Morphine and mgso4 in pain management after coronary artery bypass surgery,10.12669/pjms.342.14280,"['Ahmad', 'Ahmad', 'Hamid', 'Furqan']",2018
author,+Suhail+Ahmad+Rana,Enhancing Diagnostic Accuracy and Management of Major Depressive Disorders via Tailored Musical Interventions and Neuro-acoustic Stimulation,10.47513/mmd.v18i2.1084,"['Shahzad', 'Rakesh Banal', 'Muheet Butt', 'Sanjeev Rana', 'Hilal Ahmad Wani', 'Suhail Ahmad']",2026
author,+Suhail+Ahmad+Rana,THE EFFECTS OF SENTENCE WRITING AS SEMANTIC ELABORATION ON SECOND LANGUAGE LEXICAL ACQUISITION OF IRAQI EFL LEARNERS,10.56924/tasnim.s1.2025/29,['Suhail'],2025
author,+Suhail+Ahmad+Rana,Myocardial protection with Glucose-Insulin-Potassiuminfusion during adult cardiac surgery,10.12669/pjms.332.12414,"['Ahmad', 'Altaf Ahmad', 'Ahsan Qureshi', 'Ahmad Raza Baig']",2017
author,+Tania+Gentic,"Journalism, Media, Mass Culture",10.1017/9781108891226.025,['Gentic'],2022
author,+Tania+Gentic,La excentricidad del texto: El carácter poético del Nuevo catecismo para indios remisos (review),10.1353/rvs.2012.0072,['Gentic'],2012
author,+Tania+Gentic,"Realism, the Avant-Garde, and the Politics of Reading in Roberto Bolaño's<i>The Savage Detectives</i>",10.1080/00111619.2014.930014,['Gentic'],2015
author,+Tania+Gentic,Auditory Culture in Early Twentieth-Century Spain,10.4324/9780367810207-47,['Gentic'],2025
author,+Tania+Gentic,Geographies of the Ear,10.1215/9781478061021,['Gentic'],2025
author,+Tania+Gentic,"Everyday Atlantic, The: Time, Knowledge, and Subjectivity in the Twentieth-Century Iberian and Latin American Newspaper Chronicle",10.1353/book28001,['Gentic'],2013
author,+Tania+Gentic,Translocal Misreadings: Eugeni d’Ors in Latin America and Transatlantic Studies Today,10.1007/978-3-319-58208-5_10,['Gentic'],2017
author,+Tania+Gentic,Beyond the Visual City: The Sound of Space in Fernando Pérez’s Suite Habana,10.1353/hir.2014.0019,['Gentic'],2014
author,+Tania+Gentic,"Transatlantic Mysteries: Crime, Culture, and Capital in the “Noir Novels” of Paco Ignacio Taibo II and Manuel Vázquez Montalbán (review)",10.1353/rhm.2012.0023,['Gentic'],2012
author,+Tania+Gentic,Geographies of the Ear,10.1515/9781478061021,['Gentic'],2025
